dragon fruit	Spring@;Summer@;Autumn	Fruit#_150#_g@;Fruit#_1#_cup	
dried fruit	Spring@;Summer@;Autumn@;Winter	Fruit#_30#_g	
dry sherry or white wine	Spring@;Summer@;Autumn@;Winter	Other#_1#_tbsp@;Other#_1#_cup	
durian	Summer	Fruit#_1#_cup@;Fruit#_150#_g	
egg	Spring@;Summer@;Autumn@;Winter	Protein#_2#_large@;Protein#_120#_g	
egg fruit	Winter	Fruit#_2#_whole@;Fruit#_150#_g	
eggplant	Spring@;Summer@;Autumn@;Winter	Vegetable#_0.5#_large@;Vegetable#_1#_medium@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_2#_small@;Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)	
endive leaf	Summer	Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)	
evaporated milk	Spring@;Summer@;Autumn@;Winter	Calcium#_0.5#_cup@;Calcium#_120#_ml	
feijoa	Autumn@;Winter	Fruit#_150#_g@;Fruit#_2#_whole	
fennel	Spring@;Summer@;Autumn@;Winter	Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)	
fig	Summer@;Autumn	Fruit#_150#_g@;Fruit#_2#_whole	
filo pastry	Spring@;Summer@;Autumn@;Winter	Grain#_0.5#_cup (cooked)@;Grain#_1#_sheet@;Grain#_50#_g (raw)@;Grain#_100#_g (cooked)@;Grain#_0.25#_cup (raw)	
fish (canned)	Spring@;Summer@;Autumn@;Winter	Protein#_100#_g (cooked)@;Protein#_115#_g (raw)	
fish fillet	Spring@;Summer@;Autumn@;Winter	Protein#_115#_g (raw)@;Protein#_100#_g (cooked)	
flat peach	Autumn	Fruit#_150#_g@;Fruit#_2#_whole	
flour (plain)	Spring@;Summer@;Autumn@;Winter	Grain#_3.3#_tbsp@;Grain#_50#_g (raw)@;Grain#_100#_g (cooked)@;Grain#_0.25#_cup (raw)@;Grain#_0.5#_cup (cooked)	
flour (white self-raising)	Spring@;Summer@;Autumn@;Winter	Grain#_0.5#_cup (cooked)@;Grain#_50#_g (raw)@;Grain#_100#_g (cooked)@;Grain#_0.25#_cup (raw)	
flour (whole meal self-raising)	Spring@;Summer@;Autumn@;Winter	Grain#_0.5#_cup (cooked)@;Grain#_0.25#_cup (raw)@;Grain#_50#_g (raw)@;Grain#_100#_g (cooked)	
fruit juice	Spring@;Summer@;Autumn@;Winter	Fruit#_0.5#_cup@;Fruit#_125#_ml	
gai laan	Spring@;Autumn@;Winter	Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)	
